success,Organization Name,Acquisition Status,IPO Status,Founded Date,Founded Date Precision,Last Funding Date,Number of Articles,Number of Founders,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Global Traffic Rank,SEMrush - Bounce Rate Growth,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,G2 Stack - Total Products Active,Money Raised Currency (in USD),Announced Date,Number of Investors,Seed Lag
0,BeatRoute | CRM SFA for Intelligent Sales Force Automation,,Private,2017-01-01,year,2016-10-14,3,1.0,"6,578","13,446.50",-68.19%,"2,102",2.94%,22.12,62.19%,52.90%,"2,391,171",-19.34%,"1,148,619",92.44%,15.0,4.0,16.0,500000.0,2016-10-14,1.0,-79
0,UtopiaTech,,Private,2017-01-01,year,2019-01-01,0,3.0,"3,710","8,451.50",209.94%,"1,962",44.90%,3.0,159.47%,80%,"3,095,198",-5.19%,"-1,713,973",-35.64%,3.0,1.0,0.0,500000.0,2019-01-01,1.0,730
0,CARS24,,Private,2015-01-01,year,2021-12-20,126,4.0,"7,405,666","6,780,706.17",11.49%,457,11.74%,1.4,-12.27%,79.78%,"14,044",10.44%,-669,-4.55%,49.0,12.0,15.0,7005000.0,2016-02-01,2.0,396
1,ZappFresh,Made Acquisitions,Private,2015-01-01,year,2023-11-23,20,2.0,642,"11,601.83",71.66%,73,-83.72%,2.04,104.21%,30.53%,"6,162,721",-69.47%,"-856,949",-12.21%,44.0,0.0,14.0,3000000.0,2018-03-19,3.0,1173
0,Darwinbox,,Private,2015-01-01,year,2023-01-04,97,3.0,"2,159,938","1,525,103.83",7.44%,503,3.50%,2.41,25.23%,52.96%,"39,459",-2.77%,-993,-2.45%,62.0,2.0,47.0,500000.0,2016-07-26,3.0,572
0,Simpl,,Private,2015-01-01,year,2021-11-30,48,2.0,"3,929,794","2,649,340.67",129.22%,501,111.39%,1.66,-8.30%,75.80%,"24,163",28.56%,"-21,928",-47.58%,69.0,3.0,32.0,2500000.0,2016-11-01,1.0,670
0,Meesho,,Private,2015-01-01,year,2023-10-13,330,2.0,"57,441,248","47,319,086.67",54.02%,869,-16.36%,2.27,-14.86%,64.71%,"1,973",2.49%,-870,-30.60%,53.0,3.0,33.0,120000.0,2016-08-18,1.0,595
1,BetterPlace,Made Acquisitions,Private,2015-01-01,month,2022-12-20,3,2.0,"136,799","115,389.67",12.18%,884,107.51%,1.96,81.11%,54.66%,"321,927",-43.09%,"-22,582",-6.55%,69.0,2.0,21.0,1000000.0,2016-02-16,1.0,411
0,Disprz,,Private,2015-01-01,year,2023-08-07,14,2.0,"272,630","331,339.33",-62.72%,"1,432",-17.13%,1.76,9.90%,50.22%,"191,353",-25.19%,"101,761",113.58%,10.0,77.0,36.0,500000.0,2017-01-04,1.0,734
0,Pando,,Private,2015-01-01,year,2023-05-03,13,2.0,"1,485","14,993.17",19.18%,9,-97.93%,1.5,-25.01%,50.03%,"4,551,946",-96.31%,"-186,245",-3.93%,32.0,0.0,10.0,2000000.0,2018-04-16,5.0,1201
0,CloudSEK,,Private,2015-01-01,year,2021-10-08,23,1.0,"13,120","26,862.67",-37.29%,771,-36.28%,2.51,-1.58%,44.56%,"1,639,309",-41.58%,"402,873",32.58%,45.0,1.0,25.0,490000.0,2019-02-26,2.0,1517
0,LoveLocal (formerly m.Paani),,Private,2015-01-01,year,2021-10-28,9,1.0,"23,723","117,013.83",-94.08%,61,-86.10%,2.34,108.98%,26.35%,"1,163,668",-70.64%,"1,022,754",725.80%,30.0,2.0,0.0,500000.0,2016-04-20,1.0,475
1,NODWIN Gaming,"Made Acquisitions, Was Acquired",Private,2015-01-01,month,2023-05-18,28,2.0,"1,214","8,110.33",-64.48%,186,190.91%,1.36,36.08%,81.96%,"4,888,903",-18.04%,"1,682,236",52.46%,76.0,0.0,13.0,59416.0,2016-03-15,1.0,439
1,Fisdom,Made Acquisitions,Private,2015-01-01,year,2022-06-30,24,3.0,"249,941","202,102.50",114.55%,287,52.66%,1.09,-18.96%,96.58%,"204,583",10.64%,"-151,891",-42.61%,96.0,3.0,23.0,1100000.0,2016-10-19,1.0,657
0,Infinite Uptime,,Private,2015-01-01,year,2023-07-26,7,2.0,"1,098","3,819.67",-69.67%,242,178.16%,1.2,-64.93%,79.69%,"4,993,827",81.90%,"1,857,431",59.22%,23.0,4.0,21.0,500000.0,2016-01-19,1.0,383
0,Dunzo,,Private,2015-01-01,year,2023-04-06,262,4.0,"1,342,577","1,361,389.17",20.80%,435,-39.33%,1.15,1.79%,90.24%,"57,376",0.52%,"-7,540",-11.62%,55.0,1.0,13.0,650000.0,2016-03-08,4.0,432
0,ProcMart,,Private,2015-01-01,year,2022-11-21,6,3.0,"2,445","1,528.50",96.23%,0,51.02%,1.0,0%,100%,"3,618,855",0%,"-1,117,816",-23.60%,36.0,1.0,16.0,500000.0,2016-06-20,1.0,536
0,Wealthy,,Private,2015-01-01,year,2022-02-08,28,3.0,"20,352","17,967.83",-47.19%,329,278.16%,1.29,-34.24%,90.65%,"1,262,520",186.41%,"447,879",54.98%,39.0,2.0,16.0,1300000.0,2019-10-23,7.0,1756
1,Unacademy,Made Acquisitions,Private,2015-01-01,year,2021-08-01,377,4.0,"13,169,843","14,926,696.83",9.61%,"1,047",1.45%,1.61,-2.21%,73.12%,"8,415",4.09%,-135,-1.58%,97.0,15.0,30.0,1000000.0,2016-08-24,14.0,601
1,Get My Parking,Made Acquisitions,Private,2015-01-01,year,2021-05-27,11,2.0,"1,545","4,004.33",-64.83%,0,-1.25%,1.0,-11.93%,100%,"4,480,448",15.49%,"1,628,898",57.12%,76.0,2.0,33.0,376761.0,2016-05-02,1.0,487
0,InterviewBit,,Private,2015-01-01,year,2021-12-21,12,2.0,"6,821,100","6,899,824.67",13.21%,579,-32.28%,1.38,-13.64%,79.36%,"15,073",6.34%,-956,-5.96%,25.0,0.0,17.0,1500000.0,2019-04-19,1.0,1569
1,ShareChat,Made Acquisitions,Private,2015-01-01,year,2022-05-31,279,3.0,"19,721,830","16,537,994.83",37.43%,"1,445",182.78%,1.74,20.83%,70.91%,"5,887",-9.29%,"-1,375",-18.93%,110.0,7.0,19.0,1350000.0,2016-07-13,2.0,559
0,Staqu Technologies,,Private,2015-01-01,year,2022-04-26,2,5.0,"3,242","1,519.17",420.39%,181,605.26%,4.62,362.21%,5.40%,"3,250,807",-94.60%,"-2,793,702",-46.22%,2.0,22.0,20.0,500000.0,2016-06-23,2.0,539
0,Gamezop,,Private,2015-01-01,year,2020-08-23,12,2.0,"5,986,871","6,660,807.17",-22.99%,958,-73.64%,1.73,-62.58%,70.34%,"16,880",24.80%,"4,110",32.18%,35.0,1.0,31.0,350000.0,2016-02-17,7.0,412
1,DocsApp,Made Acquisitions,Private,2015-01-01,year,2020-11-03,21,2.0,"200,407","88,497.33",108.54%,0,-39.91%,1.0,-37.90%,100%,"242,128",66.69%,"-171,576",-41.47%,60.0,0.0,9.0,1200000.0,2016-04-28,2.0,483
0,Pharmarack,,Private,2015-01-01,year,2019-09-23,8,3.0,"307,986","375,955.17",-16.20%,"1,762",5.83%,6.09,-4.29%,26.76%,"174,929",27.98%,"24,464",16.26%,42.0,0.0,13.0,749623.0,2016-09-23,2.0,631
0,Property Share Online Platform,,Private,2015-01-01,year,2022-06-27,0,2.0,"392,444","289,198",-22.61%,142,-34.56%,1.34,-24.10%,73.66%,"145,876",33.49%,"27,785",23.53%,33.0,0.0,21.0,500000.0,2017-03-10,3.0,799
1,GenRobotic,Was Acquired,Private,2015-01-01,year,2022-09-21,5,2.0,"2,905","3,785.67",165.05%,418,79.40%,3.19,43.34%,10.15%,"3,370,814",-70.25%,"-1,566,817",-31.73%,13.0,0.0,0.0,500000.0,2018-02-06,1.0,1132
1,PaySense,Was Acquired,Private,2015-01-01,year,2018-07-20,11,3.0,"444,855","517,332.50",67.83%,705,1.59%,1.24,-18.50%,87.17%,"132,951",39.07%,"-59,082",-30.77%,17.0,2.0,20.0,2300000.0,2015-01-01,1.0,0
1,Playment,Was Acquired,Private,2015-01-01,year,2017-11-21,14,3.0,"15,361","24,036.50",-41.58%,"3,707",53.06%,7.39,2.90%,12.84%,"1,490,181",12.93%,"404,565",37.27%,49.0,0.0,29.0,1600000.0,2017-11-21,5.0,1055
1,Rapido,Made Acquisitions,Private,2015-01-01,year,2022-04-15,95,3.0,"1,866,577","2,334,344",1.08%,"1,231",87.65%,1.1,-4.48%,93.18%,"44,420",3.65%,"1,032",2.38%,49.0,3.0,77.0,500000.0,2016-10-19,9.0,657
1,SmartQ,"Made Acquisitions, Was Acquired",Private,2015-01-01,year,2018-03-14,4,3.0,"44,985","75,729",-83.14%,144,206.38%,2.1,83.32%,33.10%,"740,459",-64.27%,"549,341",287.44%,66.0,2.0,24.0,1000000.0,2018-03-14,1.0,1168
0,WION,,Private,2015-01-01,year,2016-08-01,3,2.0,"12,458,793","11,420,767",16.14%,786,96.01%,1.26,3.46%,88.18%,"8,864",3.12%,-693,-7.25%,57.0,0.0,0.0,1000000.0,2015-08-01,1.0,212
0,TalkCharge,,Private,2015-01-01,year,2016-03-27,0,1.0,"744,487","689,153.67",16.37%,87,67.31%,1.92,7.95%,56.48%,"90,127",29.69%,"-8,927",-9.01%,28.0,2.0,0.0,65000.0,2016-03-27,1.0,451
0,FloCareer,,Private,2015-01-01,year,2021-10-11,2,3.0,"28,487","46,958.83",-63.46%,"1,207",-31.42%,2.91,63.49%,58.16%,"1,045,965",-32.32%,"564,549",117.27%,43.0,0.0,14.0,150000.0,2016-09-14,2.0,622
0,Rupeek,,Private,2015-01-01,year,2022-09-07,37,3.0,"196,544","65,202",1459.38%,284,24.56%,1.06,-46.43%,97.76%,"245,849",91.76%,"-1,428,497",-85.32%,23.0,4.0,15.0,2000000.0,2017-01-05,1.0,735
0,Candes,,Private,2015-01-01,year,2022-04-23,1,2.0,"43,233","23,475",5230.83%,343,-11.14%,10.0,96.84%,1.76%,"762,548",-99.19%,"-4,725,125",-86.10%,21.0,1.0,0.0,500000.0,2016-06-01,1.0,517
0,Smartivity,,Private,2015-01-01,day,2018-05-24,9,4.0,"6,291","8,577",-21.75%,828,546.88%,2.88,71.99%,47.77%,"2,435,833",-33.60%,"339,143",16.18%,11.0,25.0,30.0,1000000.0,2016-05-16,1.0,501
0,Wysa,,Private,2015-01-01,year,2023-05-22,33,2.0,"21,387","22,882.50",124.84%,26,-95.62%,1.84,71.50%,16.44%,"1,231,951",-82.32%,"-714,401",-36.70%,24.0,2.0,27.0,2157626.0,2019-06-20,2.0,1631
1,Vokal,Made Acquisitions,Private,2015-01-01,year,2021-03-17,1,2.0,"224,919","1,120,902",-66.66%,61,69.44%,1.07,-18.54%,93.44%,"221,445",0.51%,"126,265",132.66%,8.0,2.0,0.0,500000.0,2016-02-23,3.0,418
0,FinBox,,Private,2015-01-01,year,2022-06-20,20,1.0,"1,360,943","1,530,289.17",-27.61%,456,-34.48%,2.54,40.07%,40.80%,"56,729",-32.30%,"13,967",32.66%,66.0,7.0,18.0,500000.0,2019-10-03,2.0,1736
0,Notesgen,,Private,2015-01-01,day,2018-08-30,10,3.0,661,"14,387.33",-72.74%,124,-54.58%,5.31,24.04%,33.74%,"6,092,399",212.41%,"2,458,520",67.66%,8.0,0.0,19.0,175897.0,2018-08-30,1.0,1337
1,BabyChakra,"Made Acquisitions, Was Acquired",Private,2015-01-01,year,2023-09-27,23,2.0,"24,137","163,649.33",-89.37%,127,182.22%,1.04,-5.56%,96.49%,"1,152,591",-1.62%,"936,866",434.29%,48.0,1.0,20.0,600000.0,2015-06-16,3.0,166
1,ORO Wealth,"Made Acquisitions, Was Acquired",Private,2015-01-01,year,2020-09-21,7,4.0,"7,862","13,042.67",-59.41%,150,-74.18%,2.13,7.63%,71.66%,"2,170,849",22.98%,"886,344",69%,48.0,3.0,31.0,400000.0,2017-02-15,5.0,776
0,Khel Now,,Private,2015-01-01,year,2017-01-23,2,2.0,"2,464,305","2,683,524.50",-27.51%,454,-28.16%,1.28,8.51%,81.34%,"35,371",-8.23%,"9,185",35.08%,29.0,1.0,26.0,350000.0,2016-09-21,1.0,629
0,GuaRented.com,,Private,2015-01-01,year,2016-08-23,5,3.0,"94,785","63,197.17",-33.66%,862,1904.65%,1.27,-14.72%,91.25%,"424,695",67.62%,"117,811",38.39%,74.0,0.0,24.0,500000.0,2016-08-23,1.0,600
0,Arcatron Mobility,,Private,2015-01-01,year,2019-01-01,7,4.0,"1,188","7,524.50",-96.91%,0,-79.12%,1.0,-5.89%,100%,"4,904,433",3.59%,"4,087,055",500.02%,15.0,0.0,18.0,101819.0,2018-10-30,1.0,1398
0,Sunday,,Private,2015-01-01,year,2015-11-23,185,1.0,"15,432","185,119.50",-83.17%,492,538.96%,2.83,10.79%,37.93%,"1,487,151",313.63%,"1,058,456",246.90%,45.0,1.0,13.0,300000.0,2015-11-23,1.0,326
0,ZippServ,,Private,2015-01-01,year,2018-07-06,2,2.0,"3,191","3,106.33",1597.34%,106,1414.29%,1.14,-62.01%,93.01%,"3,262,659",40.64%,"-4,449,650",-57.70%,44.0,0.0,0.0,389954.0,2017-05-02,1.0,852
0,Entri,,Private,2015-01-01,year,2023-08-14,11,2.0,"292,523","269,523.33",-8.96%,555,-63.75%,1.52,-19.98%,61.44%,"181,598",17.61%,"15,101",9.07%,55.0,2.0,19.0,500000.0,2019-02-06,1.0,1497
0,PublicVibe,,Private,2015-01-01,year,2019-05-21,4,1.0,"1,177,267","1,424,430.17",9.68%,245,410.42%,1.34,-14.35%,70.48%,"63,500",10.33%,"-3,198",-4.79%,19.0,0.0,0.0,1120000.0,2019-04-10,1.0,1560
1,KiviHealth,Was Acquired,Private,2015-01-01,year,2017-09-24,2,2.0,"159,160","131,632.83",6.85%,"3,292",-1.08%,5.97,10.31%,33.89%,"286,817",11.19%,"-9,515",-3.21%,42.0,9.0,21.0,30000.0,2015-08-01,1.0,212
0,PayTunes,,Private,2015-01-01,year,2016-06-10,2,6.0,"795,596","445,769.33",140.49%,261,-17.63%,1.16,15.88%,87.33%,"85,778",-12.67%,"-77,043",-47.32%,59.0,1.0,20.0,500000.0,2016-06-10,2.0,526
1,GetMyUni,"Made Acquisitions, Was Acquired",Private,2015-01-01,month,2015-09-01,4,2.0,"666,908","2,569,833.67",-50.70%,208,-74%,1.26,-10.26%,82.72%,"97,946",8.78%,"42,340",76.14%,15.0,2.0,30.0,50000.0,2015-09-01,1.0,243
1,Pickrr Technologies,Was Acquired,Private,2015-01-01,year,2021-08-11,4,3.0,"649,076","2,453,118.17",85.10%,234,-88.02%,1.61,12.21%,56.70%,"100,004",-14.70%,"-55,857",-35.84%,67.0,1.0,16.0,500000.0,2016-10-24,1.0,662
0,Qdesq,,Private,2015-01-01,year,2023-10-26,6,2.0,"77,648","35,826.83",1051.53%,433,119.80%,1.08,-33.46%,96.37%,"492,001",24.36%,"-1,859,645",-79.08%,31.0,0.0,31.0,500000.0,2016-07-25,7.0,571
0,Gingercrush,,Private,2015-01-01,year,2016-02-05,5,2.0,884,"1,176.50",372.73%,209,-95.30%,2.76,175.68%,50%,"5,471,332",-50%,"-2,262,845",-29.26%,35.0,0.0,12.0,1000000.0,2016-02-05,7.0,400
0,Giant Tech Labs( Shouut),,Private,2015-01-01,year,2016-02-08,0,1.0,"3,479","7,368.67",190.16%,951,2277.50%,1.45,-1.62%,67.61%,"3,156,783",28.46%,"-1,651,169",-34.34%,11.0,2.0,0.0,500000.0,2016-02-08,1.0,403
0,Finly,,Private,2015-01-01,year,2019-12-21,1,2.0,"21,481","19,170",73.85%,"1,095",6.83%,3.15,-28.20%,46.65%,"1,229,496",195.07%,"-461,716",-27.30%,82.0,1.0,43.0,500000.0,2019-12-21,4.0,1815
0,GyanDhan,,Private,2015-01-01,year,2016-07-12,6,2.0,"60,474","161,252.17",43.07%,327,-27.81%,3.54,40.28%,33.82%,"595,576",-29.44%,"-162,439",-21.43%,22.0,0.0,23.0,500000.0,2016-07-12,2.0,558
0,Hubhopper,,Private,2015-01-01,year,2021-02-25,17,2.0,"53,411","48,454.17",15.15%,91,-68.29%,1.28,14.37%,84.44%,"648,566",-6.48%,"-60,461",-8.53%,75.0,8.0,19.0,500000.0,2019-04-04,1.0,1554
0,JoulestoWatts,,Private,2015-01-01,year,2016-02-10,1,1.0,665,"23,559.50",-74.22%,0,-1.79%,1.0,0%,100%,"6,084,657",0%,"2,537,645",71.54%,41.0,2.0,0.0,500000.0,2016-02-10,2.0,405
0,Tavaga Advisory Services Pvt Ltd,,Private,2015-01-01,year,2015-10-28,3,8.0,"8,097","24,732.33",-11.69%,14,-66.85%,1.06,5.51%,97.25%,"2,143,906",-2.75%,"159,958",8.06%,44.0,1.0,16.0,500000.0,2015-10-28,3.0,300
0,Bro4u.com,,Private,2015-01-01,month,2015-11-27,8,3.0,"110,306","117,306",17.78%,"1,234",1172.16%,1.62,54.24%,38.22%,"379,327",-60.71%,"-42,209",-10.01%,92.0,5.0,22.0,500000.0,2015-11-27,1.0,330
0,Talentrack,,Private,2015-01-01,year,2015-11-26,0,1.0,"21,249","147,855.33",-92.53%,218,-41.08%,1.22,-45.73%,91.32%,"1,235,261",99.21%,"1,053,023",577.83%,34.0,3.0,0.0,500000.0,2015-11-26,1.0,329
1,BetterButter,Was Acquired,Private,2015-01-01,year,2017-09-01,3,2.0,"109,010","184,658",-56.54%,"2,207",1112.64%,1.11,0.58%,89.08%,"382,452",-1.13%,"182,114",90.90%,41.0,2.0,18.0,500000.0,2015-08-28,1.0,239
1,Myntra,"Made Acquisitions, Was Acquired",Private,2007-01-01,year,2022-03-25,"1,927",5.0,"125,732,777","89,231,232.17",75.90%,689,-6.26%,2.81,2.14%,65.62%,893,-1.35%,-553,-38.24%,33.0,9.0,30.0,500000.0,2007-01-01,2.0,0
1,VerSe Innovation,Made Acquisitions,Private,2007-01-01,year,2022-04-06,27,2.0,"8,785","13,926",-28.26%,457,-68.18%,1.19,-24.24%,83.22%,"2,009,643",41%,"312,529",18.42%,31.0,0.0,11.0,542429.0,2007-07-01,1.0,181
0,VVDN Technologies,,Private,2007-04-26,day,2023-09-06,14,2.0,"122,056","86,123.67",17.92%,379,-47.43%,2.8,-2.09%,37.88%,"350,449",-13.36%,"-41,289",-10.54%,41.0,2.0,29.0,500000.0,2016-12-08,1.0,3514
0,Ozonetel Communications,,Private,2007-01-01,year,2021-10-06,0,3.0,"254,585","104,965.17",465.48%,"2,279",65.63%,2.71,-63%,71.11%,"201,857",186.39%,"-524,077",-72.19%,90.0,0.0,27.0,36000.0,2018-01-01,1.0,4018
1,Zoomin,Made Acquisitions,Private,2007-01-01,year,2021-03-30,12,5.0,"517,616","562,144.33",15.26%,614,-11.14%,2.27,30.42%,51.34%,"118,621",-26.21%,"-10,927",-8.43%,58.0,1.0,18.0,850000.0,2007-11-01,3.0,304
0,Attero,,Private,2007-01-01,year,2014-08-28,40,1.0,951,"4,868.50",-38.96%,36,-90.19%,1.46,-53.74%,53.84%,"5,284,839",49.51%,"928,285",21.31%,27.0,0.0,14.0,2500000.0,2008-04-18,1.0,473
0,Routematic,,Private,2007-01-01,year,2020-11-06,2,2.0,"724,717","571,457.33",47.13%,330,17.44%,1.86,1.73%,50.37%,"92,004",-9.60%,"-28,777",-23.83%,42.0,3.0,19.0,2500000.0,2019-04-16,2.0,4488
0,DogSpot,,Private,2007-01-01,year,2016-01-04,20,1.0,"140,588","84,816.50",99.27%,212,130.43%,5.28,378.97%,51.25%,"315,655",-46.96%,"-208,271",-39.75%,75.0,2.0,18.0,500000.0,2016-01-04,5.0,3290
0,Robomart.com,,Private,2007-01-01,year,2018-02-01,1,1.0,"7,155","18,412.50",-27.91%,669,-48.50%,3.23,61.95%,73.46%,"2,310,976",15.61%,"406,229",21.33%,51.0,3.0,16.0,500000.0,2018-02-01,0.0,4049
0,Jeeves,,Private,2007-01-01,year,2012-06-21,15,3.0,"129,956","126,675.17",54.62%,"2,107",-21.17%,13.1,20.39%,36.65%,"335,085",-13.03%,"-121,540",-26.62%,35.0,2.0,14.0,500000.0,2012-06-21,1.0,1998
1,Rebel Foods,Made Acquisitions,Private,2011-01-01,year,2023-04-25,134,2.0,"71,675","46,993.17",1214.66%,170,-9.57%,1.15,-51.41%,93.58%,"525,414",152.31%,"-2,121,266",-80.15%,45.0,5.0,4.0,500000.0,2010-10-30,1.0,-63
1,Exotel,Made Acquisitions,Private,2011-01-01,year,2022-01-03,63,4.0,"297,180","308,716.83",-8.72%,"1,673",-11.90%,3.37,58.92%,44.43%,"179,600",-31.24%,"14,751",8.95%,83.0,0.0,38.0,205882.0,2013-02-05,1.0,766
0,Hopscotch,,Private,2011-01-01,year,2023-05-24,16,1.0,"1,763,841","1,384,127.50",53.55%,801,300.50%,1.47,-16.98%,81.17%,"46,425",25.77%,"-16,863",-26.64%,37.0,1.0,10.0,500000.0,2012-12-08,1.0,707
0,Stellapps,,Private,2011-01-01,year,2022-02-17,20,6.0,"66,609","23,415.67",4317.04%,112,202.70%,1.0,-45.10%,99.74%,"553,674",69.94%,"-3,838,075",-87.39%,30.0,12.0,10.0,182637.0,2013-01-01,1.0,731
0,UrbanPro,,Private,2011-01-01,year,2015-05-26,10,1.0,"1,396,516","1,498,008.50",25.28%,835,95.09%,2.34,6.52%,60.31%,"55,568",-9.77%,"-9,208",-14.22%,45.0,5.0,29.0,2000000.0,2015-05-26,1.0,1606
1,ClearTax,Made Acquisitions,Private,2011-01-01,year,2022-01-13,84,3.0,"10,735,162","14,755,071",13.61%,732,5.48%,1.34,-8%,80.59%,"10,201",4.40%,-560,-5.20%,88.0,11.0,37.0,2000000.0,2016-05-25,2.0,1971
0,IncNut Digital,,Private,2011-01-01,year,2020-07-13,4,2.0,"6,738","3,637.17",190.68%,352,486.67%,2.56,18.60%,25.20%,"2,371,238",-91.84%,"-1,334,523",-36.01%,47.0,0.0,17.0,500000.0,2013-08-01,1.0,943
0,Prime Venture Partners,,Private,2011-01-01,year,2012-10-24,164,4.0,"1,769","2,035.67",5.74%,148,2.78%,2.51,36.03%,43.19%,"4,189,207",37.64%,"-75,192",-1.76%,45.0,0.0,9.0,500000.0,2012-10-24,1.0,662
0,GoCoop,,Private,2011-01-01,year,2021-12-16,4,1.0,"153,215","35,688.33",414.49%,327,-73.04%,1.57,-61.96%,92.69%,"296,288",40.35%,"-724,786",-70.98%,73.0,1.0,18.0,70000.0,2013-12-17,3.0,1081
0,Alma Connect,,Private,2011-01-01,year,2016-02-18,3,1.0,"209,045","157,520.67",0.06%,114,-54.58%,2.6,1.01%,21.49%,"233,931",-62.72%,"3,908",1.70%,52.0,0.0,13.0,500000.0,2016-02-18,3.0,1874
0,Mobiotics,,Private,2011-01-01,day,2012-04-10,0,2.0,"16,956","10,489",97.83%,"1,178",25.32%,3.65,32.56%,12.96%,"1,396,547",-71.73%,"-641,331",-31.47%,4.0,2.0,11.0,40000.0,2012-04-10,1.0,465
0,Avaz,,Private,2009-01-01,year,2019-01-01,10,1.0,"9,884","6,044.33",28.48%,0,-97.22%,1.0,0%,100%,"1,904,972",0%,"-291,199",-13.26%,6.0,35.0,28.0,550000.0,2014-04-22,4.0,1937
1,People Matters,Was Acquired,Private,2009-01-01,year,2012-05-08,13,1.0,"142,173","159,694",-40.28%,86,26.47%,1.55,8.64%,60.11%,"313,096",-2.16%,"104,716",50.25%,37.0,3.0,14.0,752862.0,2012-05-08,1.0,1223
0,Intepat IP Services,,Private,2009-01-01,year,2009-09-01,0,1.0,"10,062","9,057.67",9.96%,42,-89.88%,1.12,-42.77%,88.23%,"1,890,017",-5.32%,"-95,851",-4.83%,41.0,0.0,9.0,10000.0,2009-09-01,1.0,243
1,Vedantu,Made Acquisitions,Private,2011-10-29,day,2022-02-24,166,4.0,"22,814,669","22,717,443.83",6.53%,787,2.21%,1.39,-0.84%,80.19%,"5,105",1.17%,133,2.67%,55.0,8.0,45.0,400000.0,2014-08-01,1.0,1007
0,IDfy,,Private,2011-05-01,month,2021-10-21,13,3.0,"1,708,998","1,597,074.33",-15.50%,887,-25.96%,1.57,1.71%,78.74%,"47,551",0.78%,"7,278",18.07%,126.0,4.0,37.0,500000.0,2012-01-01,1.0,245
1,Bewakoof,Was Acquired,Private,2011-08-19,day,2021-12-27,16,1.0,"4,497,412","4,119,404.17",59.35%,240,-30.43%,2.18,3.93%,68.96%,"21,452",2.76%,"-9,151",-29.90%,50.0,0.0,23.0,85253.0,2018-03-08,4.0,2393
1,Unbxd,Was Acquired,Private,2011-10-04,day,2019-01-01,46,2.0,"5,020","7,888.33",-65.08%,458,-73.65%,1.12,-77.16%,92.15%,"2,735,205",114.70%,"1,163,936",74.08%,83.0,0.0,55.0,500000.0,2012-09-26,2.0,358
0,WebEngage,,Private,2011-10-13,day,2022-08-02,58,2.0,"4,482,594","3,942,699.83",9.15%,362,-15.42%,1.58,7.74%,71.21%,"21,504",0.03%,-818,-3.66%,92.0,0.0,73.0,1250000.0,2016-01-20,2.0,1560
1,MissMalini Entertainment,Was Acquired,Private,2011-02-01,month,2018-08-28,1,2.0,"87,390","166,152.17",-53.42%,280,-61.80%,1.1,6.69%,89.85%,"451,231",-8.02%,"202,193",81.19%,26.0,0.0,48.0,1480125.0,2018-08-28,2.0,2765
